Age,mu_normal,sigma_normal
0,14.27097309,1.9424093207883617
1,12.5873702,1.8298511554696373
2,11.13185289,1.7653781203603116
3,10.24216047,1.7204822930210613
4,9.538045359,1.656463204685052
5,8.089315903,1.5475442544701146
6,6.914661185,1.4228571420198115
7,5.652414657,1.1954006834688067
